Distrito,Ubigeo
LURICOCHA,50405
PUCACOLPA,50411
PUTIS,50413
SANTILLANA,50406
SIVIA,50407
UCHURACCAY,50410
ANCHIHUAY,50510
ANCO,50502
AYNA,50503
CHILCAS,50504
CHUNGUI,50505
LUIS CARRANZA,50506
NINABAMBA,50514
ORONCCOY,50511
PATIBAMBA,50515
RIO MAGDALENA,50513
SAMUGARI,50509
SAN MIGUEL,50501
SANTA ROSA,50507
TAMBO,50508
UNION PROGRESO,50512
AUCARA,50602
CABANA,50603
CARMEN SALCEDO,50604
CHAVIÑA,50605
CHIPAO,50606
HUAC-HUAS,50607
LARAMATE,50608
LEONCIO PRADO,50609
LLAUTA,50610
LUCANAS,50611
OCAÑA,50612
OTOCA,50613
PUQUIO,50601
SAISA,50614
SAN CRISTOBAL,50615
SAN JUAN,50616
SAN PEDRO,50617
SAN PEDRO DE PALCO,50618
SANCOS,50619
SANTA ANA DE HUAYCAHUACHO,50620
SANTA LUCIA,50621
CHUMPI,50702
CORACORA,50701
CORONEL CASTAÑEDA,50703
PACAPAUSA,50704
PULLO,50705
PUYUSCA,50706
SAN FRANCISCO DE RAVACAYCO,50707
UPAHUACHO,50708
COLTA,50802
CORCULLA,50803
LAMPA,50804
MARCABAMBA,50805
OYOLO,50806
PARARCA,50807
PAUSA,50801
SAN JAVIER DE ALPABAMBA,50808
SAN JOSE DE USHUA,50809
SARA SARA,50810
BELEN,50902
CHILCAYOC,50904
HUACAÑA,50905
MORCOLLA,50906
PAICO,50907
QUEROBAMBA,50901
SAN PEDRO DE LARCAY,50908
SAN SALVADOR DE QUIJE,50909
SANTIAGO DE PAUCARAY,50910
SORAS,50911
ALCAMENCA,51002
APONGO,51003
ASQUIPATA,51004
CANARIA,51005
CAYARA,51006
COLCA,51007
HUAMANQUIQUIA,51008
HUANCAPI,51001
HUANCARAYLLA,51009
HUAYA,51010
SARHUA,51011
VILCANCHOS,51012
ACCOMARCA,51102
CARHUANCA,51103
CONCEPCION,51104
HUAMBALPA,51105
INDEPENDENCIA,51106
SAURAMA,51107
VILCAS HUAMAN,51101
VISCHONGO,51108
KIMBIRI,80907
PICHARI,80910
CACHACHI,60202
CAJABAMBA,60201
CONDEBAMBA,60203
SITACOCHA,60204
ASUNCION,60102
CAJAMARCA,60101
CHETILLA,60103
COSPAN,60104
ENCAÑADA,60105
JESUS,60106
LLACANORA,60107
LOS BAÑOS DEL INCA,60108
MAGDALENA,60109
MATARA,60110
NAMORA,60111
SAN JUAN,60112
CELENDIN,60301
CHUMUCH,60302
CORTEGANA,60303
HUASMIN,60304
JORGE CHAVEZ,60305
JOSE GALVEZ,60306
LA LIBERTAD DE PALLAN,60312
MIGUEL IGLESIAS,60307
OXAMARCA,60308
SOROCHUCO,60309
SUCRE,60310
UTCO,60311
ANGUIA,60402
CHADIN,60403
CHALAMARCA,60419
CHIGUIRIP,60404
CHIMBAN,60405
CHOROPAMPA,60406
CHOTA,60401
COCHABAMBA,60407
CONCHAN,60408
HUAMBOS,60409
LAJAS,60410
LLAMA,60411
PACCHA,60413
PION,60414
QUEROCOTO,60415
SAN JUAN DE LICUPIS,60416
TACABAMBA,60417
TOCMOCHE,60418
CHILETE,60502
CONTUMAZA,60501
CUPISNIQUE,60503
GUZMANGO,60504
SAN BENITO,60505
SANTA CRUZ DE TOLED,60506
TANTARICA,60507
YONAN,60508
CALLAYUC,60602
CHOROS,60603
CUJILLO,60604
CUTERVO,60601
LA RAMADA,60605
PIMPINGOS,60606
QUEROCOTILLO,60607
SAN ANDRES DE CUTERVO,60608
SAN JUAN DE CUTERVO,60609
SAN LUIS DE LUCMA,60610
SANTA CRUZ,60611
SANTO DOMINGO DE LA CAPILLA,60612
SANTO TOMAS,60613
SOCOTA,60614
TORIBIO CASANOVA,60615
BAMBAMARCA,60701
CHUGUR,60702
HUALGAYOC,60703
BELLAVISTA,60802
CHONTALI,60803
COLASAY,60804
HUABAL,60805
JAEN,60801
LAS PIRIAS,60806
POMAHUACA,60807
PUCARA,60808
SALLIQUE,60809
SAN FELIPE,60810
SAN JOSE DEL ALTO,60811
SANTA ROSA,60812
CHIRINOS,60902
HUARANGO,60903
LA COIPA,60904
NAMBALLE,60905
SAN IGNACIO,60901
SAN JOSE DE LOURDES,60906
TABACONAS,60907
CHANCAY,61002
EDUARDO VILLANUEVA,61003
GREGORIO PITA,61004
ICHOCAN,61005
JOSE MANUEL QUIROZ,61006
JOSE SABOGAL,61007
PEDRO GALVEZ,61001
BOLIVAR,61102
CALQUIS,61103
CATILLUC,61104
EL PRADO,61105
LA FLORIDA,61106
LLAPA,61107
NANCHOC,61108
NIEPOS,61109
SAN GREGORIO,61110
SAN MIGUEL,61101
SAN SILVESTRE DE COCHAN,61111
TONGOD,61112
UNION AGUA BLANCA,61113
SAN LUIS,61203
SAN PABLO,61201
TUMBADEN,61204
ANDABAMBA,61302
CATACHE,61303
CHANCAYBAÑOS,61304
LA ESPERANZA,61305
NINABAMBA,61306
PULAN,61307
SANTA CRUZ,61301
SAUCEPAMPA,61308
SEXI,61309
UTICYACU,61310
YAUYUCAN,61311
BUENA VISTA ALTA,20802
CASMA,20801
COMANDANTE NOEL,20803
YAUTAN,20804
ACO,20902
BAMBAS,20903
CORONGO,20901
CUSCA,20904
LA PAMPA,20905
YANAC,20906
YUPAN,20907
COCHAPETI,21102
CULEBRAS,21103
HUARMEY,21101
HUAYAN,21104
MALVAS,21105
BOLOGNESI,21502
CABANA,21501
CONCHUCOS,21503
HUACASCHUQUE,21504
HUANDOVAL,21505
LACABAMBA,21506
LLAPO,21507
PALLASCA,21508
PAMPAS,21509
SANTA ROSA,21510
TAUCA,21511
CACERES DEL PERU,21802
CHIMBOTE,21801
COISHCO,21803
MACATE,21804
MORO,21805
NEPEÑA,21806
NUEVO CHIMBOTE,21809
SAMANCO,21807
SANTA,21808
ACOBAMBA,21902
ALFONSO UGARTE,21903
CASHAPAMPA,21904
CHINGALPO,21905
HUAYLLABAMBA,21906
QUICHES,21907
RAGASH,21908
SAN JUAN,21909
SICSIBAMBA,21910
SIHUAS,21901
ABANCAY,30101
CHACOCHE,30102
CIRCA,30103
CURAHUASI,30104
HUANIPACA,30105
LAMBRAMA,30106
PICHIRHUA,30107
SAN PEDRO DE CACHORA,30108
TAMBURCO,30109
ANDAHUAYLAS,30201
ANDARAPA,30202
HUANCARAMA,30204
HUANCARAY,30205
HUAYANA,30206
JOSE MARIA ARGUEDAS,30220
KAQUIABAMBA,30219
KISHUARA,30207
PACOBAMBA,30208
PACUCHA,30209
PAMPACHIRI,30210
POMACOCHA,30211
SAN ANTONIO DE CACHI,30212
SAN JERONIMO,30213
SAN MIGUEL DE CHACCRAMPA,30214
SANTA MARIA DE CHICMO,30215
TALAVERA,30216
TUMAY HUARACA,30217
TURPO,30218
ANTABAMBA,30301
EL ORO,30302
HUAQUIRCA,30303
JUAN ESPINOZA MEDRANO,30304
OROPESA,30305
PACHACONAS,30306
SABAINO,30307
CAPAYA,30402
CARAYBAMBA,30403
CHALHUANCA,30401
CHAPIMARCA,30404
COLCABAMBA,30405
COTARUSE,30406
HUAYLLO,30407
JUSTO APU SAHUARAURA,30408
LUCRE,30409
POCOHUANCA,30410
SAN JUAN DE CHACÑA,30411
SAÑAYCA,30412
SORAYA,30413
TAPAIRIHUA,30414
TINTAY,30415
TORAYA,30416
YANACA,30417
AHUAYRO,30612
ANCO_HUALLO,30602
CHINCHEROS,30601
COCHARCAS,30603
EL PORVENIR,30610
HUACCANA,30604
LOS CHANKAS,30611
OCOBAMBA,30605
ONGOY,30606
RANRACANCHA,30608
ROCCHACC,30609
URANMARCA,30607
CHALLHUAHUACHO,30506
COTABAMBAS,30502
COYLLURQUI,30503
HAQUIRA,30504
MARA,30505
TAMBOBAMBA,30501
CHUQUIBAMBILLA,30701
CURASCO,30714
CURPAHUASI,30702
GAMARRA,30703
HUAYLLATI,30704
MAMARA,30705
MICAELA BASTIDAS,30706
PATAYPAMPA,30707
PROGRESO,30708
SAN ANTONIO,30709
SANTA ROSA,30710
TURPAY,30711
VIRUNDO,30713
ACOMAYO,80201
ACOPIA,80202
ACOS,80203
MOSOC LLACTA,80204
POMACANCHI,80205
RONDOCAN,80206
SANGARARA,80207
ANCAHUASI,80302
ANTA,80301
CACHIMAYO,80303
CHINCHAYPUJIO,80304
HUAROCONDO,80305
LIMATAMBO,80306
MOLLEPATA,80307
PUCYURA,80308
ZURITE,80309
CALCA,80401
COYA,80402
LAMAY,80403
LARES,80404
PISAC,80405
SAN SALVADOR,80406
TARAY,80407
YANATILE,80408
CHECCA,80502
KUNTURKANKI,80503
LANGUI,80504
LAYO,80505
PAMPAMARCA,80506
QUEHUE,80507
TUPAC AMARU,80508
YANAOCA,80501
CHECACUPE,80602
COMBAPATA,80603
MARANGANI,80604
PITUMARCA,80605
SAN PABLO,80606
SAN PEDRO,80607
SICUANI,80601
TINTA,80608
CAPACMARCA,80702
CHAMACA,80703
COLQUEMARCA,80704
LIVITACA,80705
LLUSCO,80706
QUIÑOTA,80707
SANTO TOMAS,80701
VELILLE,80708
CCORCA,80102
CUSCO,80101
POROY,80103
SAN JERONIMO,80104
SAN SEBASTIAN,80105
SANTIAGO,80106
SAYLLA,80107
WANCHAQ,80108
ALTO PICHIGUA,80808
CONDOROMA,80802
COPORAQUE,80803
ESPINAR,80801
OCORURO,80804
PALLPATA,80805
PICHIGUA,80806
SUYCKUTAMBO,80807
CIELO PUNCO,80916
ECHARATE,80902
HUAYOPATA,80903
INKAWASI,80911
KUMPIRUSHIATO,80915
MANITEA,80917
MEGANTONI,80914
OCOBAMBA,80905
QUELLOUNO,80906
SANTA ANA,80901
SANTA TERESA,80908
UNION ASHANINKA,80918
VILCABAMBA,80909
VILLA KINTIARINA,80913
VILLA VIRGEN,80912
ACCHA,81002
CCAPI,81003
COLCHA,81004
HUANOQUITE,81005
OMACHA,81006
PACCARITAMBO,81007
PARURO,81001
PILLPINTO,81008
YAURISQUE,81009
CAICAY,81102
CHALLABAMBA,81103
COLQUEPATA,81104
HUANCARANI,81105
KOSÑIPATA,81106
PAUCARTAMBO,81101
ANDAHUAYLILLAS,81202
CAMANTI,81203
CCARHUAYO,81204
CCATCA,81205
CUSIPATA,81206
HUARO,81207
LUCRE,81208
MARCAPATA,81209
OCONGATE,81210
OROPESA,81211
QUIQUIJANA,81212
URCOS,81201
CHINCHERO,81302
HUAYLLABAMBA,81303
MACHUPICCHU,81304
MARAS,81305
OLLANTAYTAMBO,81306
URUBAMBA,81301
YUCAY,81307
BARRANCA,150201
PARAMONGA,150202
PATIVILCA,150203
SUPE,150204
SUPE PUERTO,150205
CAJATAMBO,150301
COPA,150302
GORGOR,150303
HUANCAPON,150304
MANAS,150305
ATAVILLOS ALTO,150602
ATAVILLOS BAJO,150603
AUCALLAMA,150604
CHANCAY,150605
HUARAL,150601
IHUARI,150606
LAMPIAN,150607
PACARAOS,150608
SAN MIGUEL DE ACOS,150609
SANTA CRUZ DE ANDAMARCA,150610
SUMBILCA,150611
VEINTISIETE DE NOVIEMBRE,150612
AMBAR,150802
CALETA DE CARQUIN,150803
CHECRAS,150804
HUACHO,150801
HUALMAY,150805
HUAURA,150806
PACCHO,150808
SANTA LEONOR,150809
SANTA MARIA,150810
SAYAN,150811
VEGUETA,150812
ANDAJES,150902
CAUJUL,150903
COCHAMARCA,150904
NAVAN,150905
OYON,150901
PACHANGARA,150906
AMBO,100201
CAYNA,100202
COLPAS,100203
CONCHAMARCA,100204
HUACAR,100205
SAN FRANCISCO,100206
SAN RAFAEL,100207
TOMAY KICHWA,100208
CHUQUIS,100307
LA UNION,100301
MARIAS,100311
PACHAS,100313
QUIVILLA,100316
RIPAN,100317
SHUNQUI,100321
SILLAPATA,100322
YANAS,100323
CANCHABAMBA,100402
COCHABAMBA,100403
HUACAYBAMBA,100401
PINRA,100404
ARANCAY,100502
CHAVIN DE PARIARCA,100503
JACAS GRANDE,100504
JIRCAN,100505
LLATA,100501
MIRAFLORES,100506
MONZON,100507
PUNCHAO,100508
PUÑOS,100509
SINGA,100510
TANTAMAYO,100511
AMARILIS,100102
CHINCHAO,100103
CHURUBAMBA,100104
HUANUCO,100101
MARGOS,100105
PILLCO MARCA,100111
QUISQUI (KICHKI),100106
SAN FRANCISCO DE CAYRAN,100107
SAN PABLO DE PILLAO,100113
SAN PEDRO DE CHAULAN,100108
SANTA MARIA DEL VALLE,100109
YACUS,100112
YARUMAYO,100110
BAÑOS,101002
JESUS,101001
JIVIA,101003
QUEROPALCA,101004
RONDOS,101005
SAN FRANCISCO DE ASIS,101006
SAN MIGUEL DE CAURI,101007
CASTILLO GRANDE,100608
DANIEL ALOMIA ROBLES,100602
HERMILIO VALDIZAN,100603
JOSE CRESPO Y CASTILLO,100604
LUYANDO,100605
MARIANO DAMASO BERAUN,100606
PUCAYACU,100607
PUEBLO NUEVO,100609
SANTO DOMINGO DE ANDA,100610
CHOLON,100702
HUACRACHUCO,100701
LA MORADA,100704
SAN BUENAVENTURA,100703
SANTA ROSA DE ALTO YANAJANCA,100705
CHAGLLA,100802
MOLINO,100803
PANAO,100801
UMARI,100804
CODO DEL POZUZO,100902
HONORIA,100903
PUERTO INCA,100901
TOURNAVISTA,100904
YUYAPICHIS,100905
Aparicio Pomares,101104
CAHUAC,101102
CHACABAMBA,101103
CHAVINILLO,101101
CHORAS,101108
JACAS CHICO,101105
OBAS,101106
PAMPAMARCA,101107
CHACAYAN,190202
GOYLLARISQUIZGA,190203
PAUCAR,190204
SAN PEDRO DE PILLAO,190205
SANTA ANA DE TUSI,190206
TAPUC,190207
VILCABAMBA,190208
YANAHUANCA,190201
CHAUPIMARCA,190101
HUACHON,190102
HUARIACA,190103
HUAYLLAY,190104
NINACACA,190105
PALLANCHACRA,190106
PAUCARTAMBO,190107
SAN FRANCISCO DE ASIS DE YARUSYACAN,190108
SIMON BOLIVAR,190109
TICLACAYAN,190110
TINYAHUARCO,190111
VICCO,190112
YANACANCHA,190113
AIJA,20201
CORIS,20202
HUACLLAN,20203
LA MERCED,20204
SUCCHA,20205
ACZO,20302
CHACCHO,20303
CHINGAS,20304
LLAMELLIN,20301
MIRGAS,20305
SAN JUAN DE RONTOY,20306
ACOCHACA,20402
CHACAS,20401
ABELARDO PARDO LEZAMETA,20502
ANTONIO RAYMONDI,20503
AQUIA,20504
CAJACAY,20505
CANIS,20506
CHIQUIAN,20501
COLQUIOC,20507
HUALLANCA,20508
HUASTA,20509
HUAYLLACAYAN,20510
LA PRIMAVERA,20511
MANGAS,20512
PACLLON,20513
SAN MIGUEL DE CORPANQUI,20514
ACOPAMPA,20602
AMASHCA,20603
ANTA,20604
ATAQUERO,20605
CARHUAZ,20601
MARCARA,20606
PARIAHUANCA,20607
SAN MIGUEL DE ACO,20608
SHILLA,20609
TINCO,20610
YUNGAR,20611
SAN LUIS,20701
SAN NICOLAS,20702
YAUYA,20703
COCHABAMBA,20102
COLCABAMBA,20103
HUANCHAY,20104
HUARAZ,20101
INDEPENDENCIA,20105
JANGAS,20106
LA LIBERTAD,20107
OLLEROS,20108
PAMPAS,20109
PARIACOTO,20110
PIRA,20111
TARICA,20112
ANRA,21002
CAJAY,21003
CHAVIN DE HUANTAR,21004
HUACACHI,21005
HUACCHIS,21006
HUACHIS,21007
HUANTAR,21008
HUARI,21001
MASIN,21009
PAUCAS,21010
PONTO,21011
RAHUAPAMPA,21012
RAPAYAN,21013
SAN MARCOS,21014
SAN PEDRO DE CHANA,21015
UCO,21016
CARAZ,21201
HUALLANCA,21202
HUATA,21203
HUAYLAS,21204
MATO,21205
PAMPAROMAS,21206
PUEBLO LIBRE,21207
SANTA CRUZ,21208
SANTO TORIBIO,21209
YURACMARCA,21210
CASCA,21302
ELEAZAR GUZMAN BARRON,21303
FIDEL OLIVAS ESCUDERO,21304
LLAMA,21305
LLUMPA,21306
LUCMA,21307
MUSGA,21308
PISCOBAMBA,21301
ACAS,21402
CAJAMARQUILLA,21403
CARHUAPAMPA,21404
COCHAS,21405
CONGAS,21406
LLIPA,21407
OCROS,21401
SAN CRISTOBAL DE RAJAN,21408
SAN PEDRO,21409
SANTIAGO DE CHILCAS,21410
HUAYLLAN,21602
POMABAMBA,21601
QUINUABAMBA,21604
CATAC,21702
COTAPARACO,21703
HUAYLLAPAMPA,21704
LLACLLIN,21705
MARCA,21706
PAMPAS CHICO,21707
PARARIN,21708
RECUAY,21701
TAPACOCHA,21709
TICAPAMPA,21710
CASCAPARA,22002
MANCOS,22003
MATACOTO,22004
QUILLO,22005
RANRAHIRCA,22006
SHUPLUY,22007
YANAMA,22008
YUNGAY,22001
AYAVI,90602
CORDOVA,90603
HUAYACUNDO ARMA,90604
HUAYTARA,90601
LARAMARCA,90605
OCOYO,90606
PILPICHACA,90607
QUERCO,90608
QUITO-ARMA,90609
SAN ANTONIO DE CUSICANCHA,90610
SAN FRANCISCO DE SANGAYAICO,90611
SAN ISIDRO,90612
SANTIAGO DE CHOCORVOS,90613
SANTIAGO DE QUIRAHUARA,90614
SANTO DOMINGO DE CAPILLAS,90615
TAMBO,90616
ALTO LARAN,110202
CHAVIN,110203
CHINCHA ALTA,110201
CHINCHA BAJA,110204
EL CARMEN,110205
GROCIO PRADO,110206
PUEBLO NUEVO,110207
SAN JUAN DE YANAC,110208
SAN PEDRO DE HUACARPANA,110209
SUNAMPE,110210
TAMBO DE MORA,110211
ICA,110101
LA TINGUIÑA,110102
LOS AQUIJES,110103
OCUCAJE,110104
PACHACUTEC,110105
PARCONA,110106
PUEBLO NUEVO,110107
SALAS,110108
SAN JOSE DE LOS MOLINOS,110109
SAN JUAN BAUTISTA,110110
SANTIAGO,110111
SUBTANJALLA,110112
TATE,110113
YAUCA DEL ROSARIO,110114
CHANGUILLO,110302
EL INGENIO,110303
MARCONA,110304
NASCA,110301
VISTA ALEGRE,110305
LLIPATA,110402
PALPA,110401
RIO GRANDE,110403
SANTA CRUZ,110404
TIBILLO,110405
HUMAY,110503
INDEPENDENCIA,110504
PARACAS,110505
PISCO,110501
SAN ANDRES,110506
SAN CLEMENTE,110507
TUPAC AMARU INCA,110508
ACHAYA,210202
ARAPA,210203
ASILLO,210204
AZANGARO,210201
CAMINACA,210205
CHUPA,210206
JOSE DOMINGO CHOQUEHUANCA,210207
MUÑANI,210208
POTONI,210209
SAMAN,210210
SAN ANTON,210211
SAN JOSE,210212
SAN JUAN DE SALINAS,210213
SANTIAGO DE PUPUJA,210214
TIRAPATA,210215
AJOYANI,210302
AYAPATA,210303
COASA,210304
CORANI,210305
CRUCERO,210306
ITUATA,210307
MACUSANI,210301
OLLACHEA,210308
SAN GABAN,210309
USICAYOS,210310
DESAGUADERO,210402
HUACULLANI,210403
JULI,210401
KELLUYO,210404
PISACOMA,210405
POMATA,210406
ZEPITA,210407
CAPAZO,210502
CONDURIRI,210505
ILAVE,210501
PILCUYO,210503
SANTA ROSA,210504
COJATA,210602
HUANCANE,210601
HUATASANI,210603
INCHUPALLA,210604
PUSI,210605
ROSASPATA,210606
TARACO,210607
VILQUE CHICO,210608
CABANILLA,210702
CALAPUJA,210703
LAMPA,210701
NICASIO,210704
OCUVIRI,210705
PALCA,210706
PARATIA,210707
